Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,4,21uF,
"D1, D2, D3, D4",LED_D5.0mm,4,LED,
J1,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"Q1, Q2, Q3, Q4",TO-92L_Inline_Wide,4,Q_NPN_BCE,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,330,
"R2, R3, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1k,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,320,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,310,
R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,300,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
